Indicador,Atual,2023,2022,2021,2020,2019,ticker
DÍVIDA LÍQUIDA / EBITDA,069,072,056,043,037,038,RADL3
DÍVIDA LÍQUIDA / EBIT,123,131,102,084,084,074,RADL3
DÍVIDA BRUTA / PATRIMÔNIO,052,053,043,032,038,028,RADL3
PATRIMÔNIO / ATIVOS,029,030,031,032,032,033,RADL3
PASSIVOS / ATIVOS,071,070,069,068,068,067,RADL3
LIQUIDEZ CORRENTE,139,143,150,131,146,141,RADL3
CAGR RECEITAS 5 ANOS,"16,50%","18,08%","17,08%","16,47%","17,66%","14,13%",RADL3
CAGR LUCROS 5 ANOS,"7,55%","16,38%","14,64%","11,11%","7,92%","29,18%",RADL3
P/L,735,1073,562,934,1443,6687,PFRM3
P/RECEITA (PSR),008,009,006,011,014,017,PFRM3
P/VP,059,061,038,067,069,080,PFRM3
DIVIDEND YIELD (DY),"8,69%","1,90%","4,72%","4,59%","0,00%","0,00%",PFRM3
PAYOUT,"64,48%","50,84%","0,00%","42,84%","0,00%","0,00%",PFRM3
MARGEM LÍQUIDA,"1,15%","0,81%","1,03%","1,22%","0,96%","0,25%",PFRM3
MARGEM BRUTA,"15,40%","14,92%","14,66%","14,15%","13,93%","15,37%",PFRM3
MARGEM EBIT,"3,25%","3,01%","3,11%","2,04%","2,20%","1,27%",PFRM3
MARGEM EBITDA,"3,85%","3,60%","3,68%","2,66%","2,84%","2,01%",PFRM3
EV/EBITDA,362,430,325,644,633,1291,PFRM3
EV/EBIT,429,514,385,842,816,2040,PFRM3
P/EBITDA,220,242,158,428,486,832,PFRM3
P/EBIT,260,289,187,559,626,1314,PFRM3
P/ATIVO,015,015,010,018,020,025,PFRM3
P/CAP.GIRO,075,069,044,084,080,054,PFRM3
P/ATIVO CIRC LIQ,-053,-054,-033,-050,-059,-074,PFRM3
VPA,1082,1008,962,877,885,811,PFRM3
LPA,087,057,065,063,042,010,PFRM3
GIRO ATIVOS,183,175,179,159,146,151,PFRM3
ROE,"8,02%","5,64%","6,79%","7,20%","4,77%","1,19%",PFRM3
ROIC,"13,86%","12,69%","12,77%","6,10%","5,42%","3,07%",PFRM3
ROA,"2,30%","1,58%","1,95%","1,96%","1,64%","0,38%",PFRM3
DÍVIDA LÍQUIDA / EBITDA,142,188,167,217,147,459,PFRM3
DÍVIDA LÍQUIDA / EBIT,169,224,198,283,190,726,PFRM3
DÍVIDA BRUTA / PATRIMÔNIO,056,062,056,051,055,067,PFRM3
PATRIMÔNIO / ATIVOS,026,025,027,027,029,032,PFRM3
PASSIVOS / ATIVOS,068,069,065,063,062,038,PFRM3
LIQUIDEZ CORRENTE,141,145,152,150,161,348,PFRM3
CAGR RECEITAS 5 ANOS,"14,25%","15,19%","13,77%","9,44%","9,60%","6,84%",PFRM3
CAGR LUCROS 5 ANOS,"57,93%",-%,-%,-%,-%,-%,PFRM3
P/L,1353,2162,1766,2522,5837,3842,PNVL3
P/RECEITA (PSR),029,045,038,062,116,108,PNVL3
P/VP,117,171,138,191,324,563,PNVL3
DIVIDEND YIELD (DY),"3,80%","1,88%","2,19%","1,31%","0,62%","0,65%",PNVL3
PAYOUT,"37,32%","35,94%","32,83%","33,30%","853,03%","21,65%",PNVL3
MARGEM LÍQUIDA,"2,15%","2,08%","2,16%","2,46%","1,99%","2,82%",PNVL3
MARGEM BRUTA,"31,64%","30,87%","31,14%","30,65%","29,22%","29,69%",PNVL3
MARGEM EBIT,"3,79%","3,73%","3,44%","3,15%","3,27%","4,40%",PNVL3
MARGEM EBITDA,"8,07%","8,22%","8,07%","8,04%","7,45%","7,89%",PNVL3
EV/EBITDA,603,760,696,1039,1873,1606,PNVL3
EV/EBIT,1283,1673,1631,2654,4265,2884,PNVL3
P/EBITDA,360,548,474,772,1562,1371,PNVL3
P/EBIT,767,1206,1111,1973,3557,2462,PNVL3
P/ATIVO,043,065,056,084,149,202,PNVL3
P/CAP.GIRO,195,285,277,345,469,708,PNVL3
P/ATIVO CIRC LIQ,-107,-162,-130,-203,-401,-484,PNVL3
VPA,795,780,737,696,672,10457,PNVL3
LPA,069,062,057,053,037,1531,PNVL3
GIRO ATIVOS,149,145,146,135,128,187,PNVL3
ROE,"8,66%","7,92%","7,79%","7,59%","5,56%","14,64%",PNVL3
ROIC,"7,80%","7,52%","6,53%","5,62%","5,37%","11,24%",PNVL3
ROA,"3,20%","3,02%","3,16%","3,34%","2,56%","5,26%",PNVL3
DÍVIDA LÍQUIDA / EBITDA,242,212,222,266,311,235,PNVL3
DÍVIDA LÍQUIDA / EBIT,516,467,520,681,708,422,PNVL3
DÍVIDA BRUTA / PATRIMÔNIO,096,087,079,066,065,096,PNVL3
PATRIMÔNIO / ATIVOS,037,038,041,044,046,036,PNVL3
PASSIVOS / ATIVOS,063,062,059,056,054,060,PNVL3
LIQUIDEZ CORRENTE,160,162,155,171,203,196,PNVL3
CAGR RECEITAS 5 ANOS,"12,07%","12,90%","12,06%","8,67%","7,26%","7,62%",PNVL3
CAGR LUCROS 5 ANOS,"6,17%","4,38%","7,62%","8,40%","4,41%","9,23%",PNVL3
P/L,1107,"10.518,69",968,5481,5465,000,PGMN3
P/RECEITA (PSR),015,021,028,072,077,000,PGMN3
P/VP,068,087,109,260,270,000,PGMN3
DIVIDEND YIELD (DY),"9,33%","4,70%","0,00%","0,00%","0,00%","0,00%",PGMN3
PAYOUT,"104,58%","49.395,89%","0,00%","0,00%","0,00%","0,00%",PGMN3
MARGEM LÍQUIDA,"1,35%","0,001955%","2,87%","1,32%","1,40%","-0,11%",PGMN3
MARGEM BRUTA,"31,68%","31,65%","32,11%","32,15%","30,88%","31,42%",PGMN3
MARGEM EBIT,"4,64%","3,69%","6,93%","4,97%","4,69%","3,36%",PGMN3
MARGEM EBITDA,"8,78%","8,38%","11,09%","8,64%","7,98%","129,39%",PGMN3
EV/EBITDA,292,372,388,919,1006,010,PGMN3
EV/EBIT,552,845,621,1598,1711,377,PGMN3
P/EBITDA,170,245,250,836,959,000,PGMN3
P/EBIT,323,557,400,1454,1631,000,PGMN3
P/ATIVO,021,026,030,083,091,000,PGMN3
P/CAP.GIRO,155,184,214,412,417,000,PGMN3
P/ATIVO CIRC LIQ,-042,-051,-057,-178,-201,000,PGMN3
VPA,458,456,401,359,334,176,PGMN3
LPA,028,0000376,045,017,017,-001,PGMN3
GIRO ATIVOS,141,125,107,115,119,134,PGMN3
ROE,"6,18%","0,008255%","11,28%","4,75%","4,95%","-0,68%",PGMN3
ROIC,"8,94%","3,01%","15,43%","11,13%","10,44%","9,82%",PGMN3
ROA,"1,89%","0,03%","3,06%","2,50%","1,67%","-0,14%",PGMN3
DÍVIDA LÍQUIDA / EBITDA,121,127,138,082,047,010,PGMN3
DÍVIDA LÍQUIDA / EBIT,229,288,221,143,080,377,PGMN3
DÍVIDA BRUTA / PATRIMÔNIO,055,062,067,057,045,092,PGMN3
PATRIMÔNIO / ATIVOS,031,030,027,032,034,021,PGMN3
PASSIVOS / ATIVOS,069,070,073,068,066,079,PGMN3
LIQUIDEZ CORRENTE,138,139,141,160,167,130,PGMN3
CAGR RECEITAS 5 ANOS,"13,62%",-%,-%,-%,-%,-%,PGMN3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,PGMN3
P/L,929,1405,1822,-22420,"5.389,20",000,DMVF3
P/RECEITA (PSR),015,017,014,019,064,000,DMVF3
P/VP,033,034,024,025,077,000,DMVF3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",DMVF3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",DMVF3
MARGEM LÍQUIDA,"1,58%","1,22%","0,79%","-0,08%","0,01%","-0,00%",DMVF3
MARGEM BRUTA,"31,58%","31,61%","32,87%","32,50%","32,35%","0,03%",DMVF3
MARGEM EBIT,"3,43%","2,93%","2,46%","-0,18%","0,66%","-0,00%",DMVF3
MARGEM EBITDA,"5,16%","4,73%","4,43%","2,14%","2,95%","9,75%",DMVF3
EV/EBITDA,267,342,280,686,1927,154,DMVF3
EV/EBIT,401,551,504,-7947,8596,"-8.441,50",DMVF3
P/EBITDA,284,363,323,871,2180,000,DMVF3
P/EBIT,427,585,581,-10097,9725,000,DMVF3
P/ATIVO,017,019,014,014,044,000,DMVF3
P/CAP.GIRO,462,466,302,571,391,000,DMVF3
P/ATIVO CIRC LIQ,-025,-028,-020,-020,-067,000,DMVF3
VPA,1765,1721,1679,1656,1652,921,DMVF3
LPA,062,042,022,-002,0002371,-000,DMVF3
GIRO ATIVOS,116,113,098,078,069,103,DMVF3
ROE,"3,54%","2,45%","1,34%","-0,11%","0,01%","-0,00%",DMVF3
ROIC,"6,62%","5,17%","4,00%","-2,62%","-1,16%","-0,00%",DMVF3
ROA,"1,84%","1,38%","0,77%","0,13%","0,008248%","-0,00%",DMVF3
DÍVIDA LÍQUIDA / EBITDA,-017,-021,-043,-186,-253,154,DMVF3
DÍVIDA LÍQUIDA / EBIT,-026,-034,-077,2150,-1129,"-8.441,50",DMVF3
DÍVIDA BRUTA / PATRIMÔNIO,002,003,003,006,016,047,DMVF3
PATRIMÔNIO / ATIVOS,052,056,058,057,057,043,DMVF3
PASSIVOS / ATIVOS,048,044,042,043,043,057,DMVF3
LIQUIDEZ CORRENTE,113,116,120,110,152,074,DMVF3
CAGR RECEITAS 5 ANOS,"12,18%",-%,-%,-%,-%,-%,DMVF3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,DMVF3
P/L,-994,-612,-654,-1441,-2041,-1979,BIOM3
P/RECEITA (PSR),587,436,576,1080,2461,12343,BIOM3
P/VP,250,421,380,1036,754,720,BIOM3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",BIOM3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",BIOM3
MARGEM LÍQUIDA,"-59,09%","-71,23%","-88,19%","-74,95%","-120,60%","-623,66%",BIOM3
MARGEM BRUTA,"19,60%","19,68%","15,25%","25,15%","23,76%","5,89%",BIOM3
MARGEM EBIT,"-61,57%","-61,37%","-82,17%","-61,30%","-94,70%","-587,76%",BIOM3
MARGEM EBITDA,"-51,26%","-51,65%","-70,49%","-50,44%","-76,82%","-400,29%",BIOM3
EV/EBITDA,-1082,-1007,-909,-2482,-3622,-3518,BIOM3
EV/EBIT,-901,-848,-780,-2042,-2938,-2396,BIOM3
P/EBITDA,-1146,-844,-818,-2141,-3204,-3084,BIOM3
P/EBIT,-954,-710,-702,-1762,-2599,-2100,BIOM3
P/ATIVO,148,149,149,313,332,284,BIOM3
P/CAP.GIRO,383,1167,664,1834,1073,-4194,BIOM3
P/ATIVO CIRC LIQ,-331,-238,-273,-507,-617,-459,BIOM3
VPA,324,137,179,125,215,172,BIOM3
LPA,-082,-094,-104,-090,-079,-063,BIOM3
GIRO ATIVOS,025,034,026,029,013,002,BIOM3
ROE,"-25,18%","-68,87%","-58,17%","-71,92%","-36,96%","-36,35%",BIOM3
ROIC,"-18,28%","-26,42%","-26,21%","-22,36%","-14,65%","-17,03%",BIOM3
ROA,"-14,95%","-23,54%","-22,85%","-21,70%","-16,27%","-14,36%",BIOM3
DÍVIDA LÍQUIDA / EBITDA,064,-164,-092,-341,-418,-434,BIOM3
DÍVIDA LÍQUIDA / EBIT,053,-138,-079,-281,-339,-296,BIOM3
DÍVIDA BRUTA / PATRIMÔNIO,044,126,108,165,098,101,BIOM3
PATRIMÔNIO / ATIVOS,059,035,039,030,044,039,BIOM3
PASSIVOS / ATIVOS,041,064,061,070,056,090,BIOM3
LIQUIDEZ CORRENTE,336,152,198,180,303,085,BIOM3
CAGR RECEITAS 5 ANOS,"68,87%","136,72%","299,60%","-100,00%","-100,00%","-100,00%",BIOM3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,BIOM3
P/L,1621,3067,6875,-9447,,,ONCO3
P/RECEITA (PSR),024,125,078,164,,,ONCO3
P/VP,039,298,150,239,,,ONCO3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%",,,ONCO3
PAYOUT,-,"0,00%","0,00%","0,00%",,,ONCO3
MARGEM LÍQUIDA,"1,50%","4,07%","1,13%","-1,74%",,,ONCO3
MARGEM BRUTA,"33,54%","35,14%","35,52%","32,16%",,,ONCO3
MARGEM EBIT,"12,31%","13,81%","11,51%","6,56%",,,ONCO3
MARGEM EBITDA,"16,83%","18,50%","15,90%","11,26%",,,ONCO3
EV/EBITDA,498,1049,856,1593,,,ONCO3
EV/EBIT,681,1405,1182,2735,,,ONCO3
P/EBITDA,144,675,489,1457,,,ONCO3
P/EBIT,197,905,676,2500,,,ONCO3
P/ATIVO,012,075,039,073,,,ONCO3
P/CAP.GIRO,061,532,337,264,,,ONCO3
P/ATIVO CIRC LIQ,-020,-113,-059,-140,,,ONCO3
VPA,719,436,401,351,,,ONCO3
LPA,017,042,009,-009,,,ONCO3
GIRO ATIVOS,050,060,050,045,,,ONCO3
ROE,"2,41%","9,72%","2,18%","-2,53%",,,ONCO3
ROIC,"7,31%","10,91%","8,28%","2,18%",,,ONCO3
ROA,"1,05%","3,40%","1,38%","-0,34%",,,ONCO3
DÍVIDA LÍQUIDA / EBITDA,354,374,366,137,,,ONCO3
DÍVIDA LÍQUIDA / EBIT,483,501,506,235,,,ONCO3
DÍVIDA BRUTA / PATRIMÔNIO,153,198,164,131,,,ONCO3
PATRIMÔNIO / ATIVOS,031,025,026,031,,,ONCO3
PASSIVOS / ATIVOS,066,071,068,062,,,ONCO3
LIQUIDEZ CORRENTE,196,171,150,241,,,ONCO3
CAGR RECEITAS 5 ANOS,-,-%,-%,-%,,,ONCO3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,,,ONCO3
P/L,483,684,794,957,1192,1800,BALM3
P/RECEITA (PSR),071,063,069,114,125,075,BALM3
P/VP,078,075,085,117,180,112,BALM3
DIVIDEND YIELD (DY),-,"9,02%","2,17%","2,18%","5,69%","0,00%",BALM3
PAYOUT,"22,64%","34,86%","76,45%","41,11%","50,90%","4,70%",BALM3
MARGEM LÍQUIDA,"14,79%","9,27%","8,70%","11,93%","10,46%","4,19%",BALM3
MARGEM BRUTA,"61,39%","60,53%","58,30%","56,16%","50,03%","51,76%",BALM3
MARGEM EBIT,"11,71%","12,70%","11,04%","8,88%","10,60%","5,48%",BALM3
MARGEM EBITDA,"14,55%","15,57%","13,54%","12,32%","12,63%","7,41%",BALM3
EV/EBITDA,257,269,396,713,804,1211,BALM3
EV/EBIT,319,330,485,990,958,1637,BALM3
P/EBITDA,491,407,510,927,987,1019,BALM3
P/EBIT,610,499,626,1287,1175,1378,BALM3
P/ATIVO,047,043,046,067,095,059,BALM3
P/CAP.GIRO,101,094,107,155,305,215,BALM3
P/ATIVO CIRC LIQ,-173,-148,-157,-217,-240,-143,BALM3
VPA,1664,1472,1363,1329,1154,1026,BALM3
LPA,269,161,146,163,174,064,BALM3
GIRO ATIVOS,066,068,066,059,076,078,BALM3
ROE,"16,19%","10,93%","10,72%","12,26%","15,07%","6,23%",BALM3
ROIC,"6,88%","9,67%","8,92%","5,65%","9,46%","2,24%",BALM3
ROA,"5,39%","3,58%","2,30%","4,44%","7,66%","2,19%",BALM3
DÍVIDA LÍQUIDA / EBITDA,-194,-148,-079,-136,-063,267,BALM3
DÍVIDA LÍQUIDA / EBIT,-241,-181,-097,-189,-075,361,BALM3
DÍVIDA BRUTA / PATRIMÔNIO,011,014,019,017,017,031,BALM3
PATRIMÔNIO / ATIVOS,061,058,054,057,053,053,BALM3
PASSIVOS / ATIVOS,040,042,046,042,043,043,BALM3
LIQUIDEZ CORRENTE,282,282,251,267,205,188,BALM3
CAGR RECEITAS 5 ANOS,"3,64%","7,24%","8,44%","3,42%","7,78%","5,13%",BALM3
CAGR LUCROS 5 ANOS,"28,28%","26,59%","65,51%","29,33%","1,85%","-19,52%",BALM3
P/L,1252,-2808,1004,1207,2285,5013,OFSA3
P/RECEITA (PSR),119,149,126,152,281,374,OFSA3
P/VP,156,204,178,214,366,471,OFSA3
DIVIDEND YIELD (DY),"2,96%","1,82%","2,78%","1,86%","1,15%","0,45%",OFSA3
PAYOUT,"36,33%","-51,07%","27,92%","34,29%","12,37%","37,24%",OFSA3
MARGEM LÍQUIDA,"9,50%","-5,30%","12,55%","12,59%","12,29%","7,47%",OFSA3
MARGEM BRUTA,"48,50%","45,77%","50,72%","49,41%","51,22%","49,65%",OFSA3
MARGEM EBIT,"15,46%","8,59%","17,03%","15,59%","13,99%","11,59%",OFSA3
MARGEM EBITDA,"19,34%","12,42%","20,10%","18,65%","17,60%","15,56%",OFSA3
EV/EBITDA,669,1306,745,946,1713,2651,OFSA3
EV/EBIT,836,1890,880,1132,2155,3560,OFSA3
P/EBITDA,615,1197,627,815,1595,2406,OFSA3
P/EBIT,769,1732,740,975,2008,3231,OFSA3
P/ATIVO,087,110,097,108,186,267,OFSA3
P/CAP.GIRO,190,235,225,284,465,897,OFSA3
P/ATIVO CIRC LIQ,-243,-312,-261,-255,-483,-522,OFSA3
VPA,1351,1278,1364,1189,1039,913,OFSA3
LPA,169,-093,242,211,166,086,OFSA3
GIRO ATIVOS,073,074,077,071,066,071,OFSA3
ROE,"12,49%","-7,25%","17,76%","17,76%","16,00%","9,40%",OFSA3
ROIC,"9,45%","-2,07%","14,01%","12,64%","10,26%","7,77%",OFSA3
ROA,"7,38%","-3,91%","9,70%","8,97%","8,13%","5,32%",OFSA3
DÍVIDA LÍQUIDA / EBITDA,054,109,118,131,117,245,OFSA3
DÍVIDA LÍQUIDA / EBIT,067,158,140,157,148,329,OFSA3
DÍVIDA BRUTA / PATRIMÔNIO,049,063,056,060,070,057,OFSA3
PATRIMÔNIO / ATIVOS,056,054,055,051,051,057,OFSA3
PASSIVOS / ATIVOS,044,046,045,043,049,038,OFSA3
LIQUIDEZ CORRENTE,351,356,325,297,285,255,OFSA3
CAGR RECEITAS 5 ANOS,"9,12%","9,87%","15,56%","14,66%","6,45%",-%,OFSA3
CAGR LUCROS 5 ANOS,"15,86%",-%,"28,08%",-%,"5,32%",-%,OFSA3
P/L,1188,2329,2615,2679,5480,5094,FLRY3
P/RECEITA (PSR),097,153,180,242,474,548,FLRY3
P/VP,136,194,300,508,804,905,FLRY3
DIVIDEND YIELD (DY),"7,25%","2,41%","6,50%","5,32%","2,73%","3,32%",FLRY3
PAYOUT,"66,94%","56,15%","169,97%","142,62%","149,42%","169,31%",FLRY3
MARGEM LÍQUIDA,"8,13%","6,55%","6,90%","9,04%","8,65%","10,75%",FLRY3
MARGEM BRUTA,"27,69%","26,89%","27,11%","29,10%","27,25%","30,58%",FLRY3
MARGEM EBIT,"15,66%","14,15%","16,47%","17,23%","16,11%","19,28%",FLRY3
MARGEM EBITDA,"25,83%","24,59%","26,66%","27,27%","28,18%","30,33%",FLRY3
EV/EBITDA,524,829,876,1092,1784,1891,FLRY3
EV/EBIT,865,1440,1418,1727,3122,2974,FLRY3
P/EBITDA,374,620,677,888,1681,1806,FLRY3
P/EBIT,616,1078,1095,1405,2942,2840,FLRY3
P/ATIVO,056,085,103,154,255,312,FLRY3
P/CAP.GIRO,344,884,696,1750,1828,2155,FLRY3
P/ATIVO CIRC LIQ,-084,-112,-149,-216,-386,-441,FLRY3
VPA,976,929,515,354,336,338,FLRY3
LPA,112,077,059,067,049,060,FLRY3
GIRO ATIVOS,058,056,057,064,054,057,FLRY3
ROE,"11,48%","8,34%","11,48%","18,96%","14,68%","17,76%",FLRY3
ROIC,"9,59%","8,64%","10,04%","10,90%","10,81%","13,46%",FLRY3
ROA,"4,67%","3,63%","3,96%","5,79%","4,65%","6,13%",FLRY3
DÍVIDA LÍQUIDA / EBITDA,151,208,199,204,103,085,FLRY3
DÍVIDA LÍQUIDA / EBIT,248,362,322,322,180,134,FLRY3
DÍVIDA BRUTA / PATRIMÔNIO,097,083,137,160,109,088,FLRY3
PATRIMÔNIO / ATIVOS,041,044,034,030,032,035,FLRY3
PASSIVOS / ATIVOS,058,056,065,069,068,065,FLRY3
LIQUIDEZ CORRENTE,193,166,194,144,169,199,FLRY3
CAGR RECEITAS 5 ANOS,"21,05%","19,42%","13,37%","13,06%","9,42%","11,59%",FLRY3
CAGR LUCROS 5 ANOS,"14,26%","4,88%","-0,75%","8,97%","19,07%","29,49%",FLRY3
P/L,1086,1255,1103,1664,2024,2976,ODPV3
P/RECEITA (PSR),261,298,262,343,414,468,ODPV3
P/VP,458,463,421,567,608,762,ODPV3
DIVIDEND YIELD (DY),"13,61%","3,15%","3,36%","3,74%","3,48%","1,66%",ODPV3
PAYOUT,"56,84%","35,76%","38,27%","65,41%","70,86%","69,21%",ODPV3
MARGEM LÍQUIDA,"24,07%","23,75%","23,77%","20,64%","20,46%","15,74%",ODPV3
MARGEM BRUTA,"32,50%","32,01%","61,50%","60,30%","59,60%","55,20%",ODPV3
MARGEM EBIT,"30,91%","30,00%","30,15%","27,57%","29,16%","21,36%",ODPV3
MARGEM EBITDA,"33,15%","32,29%","31,51%","484,21%","30,20%","22,24%",ODPV3
EV/EBITDA,706,870,794,067,1233,1971,ODPV3
EV/EBIT,757,936,830,1181,1276,2052,ODPV3
P/EBITDA,789,923,832,071,1371,2106,ODPV3
P/EBIT,846,994,870,1246,1419,2193,ODPV3
P/ATIVO,254,297,247,327,380,479,ODPV3
P/CAP.GIRO,-3113,-4895,-2280,-67976,1644,1272,ODPV3
P/ATIVO CIRC LIQ,-368,-390,-328,-468,-785,-892,ODPV3
VPA,231,251,215,222,239,221,ODPV3
LPA,098,093,082,076,072,057,ODPV3
GIRO ATIVOS,097,100,094,095,092,102,ODPV3
ROE,"42,17%","36,87%","38,14%","34,09%","30,04%","25,62%",ODPV3
ROIC,"36,77%","31,22%","31,94%","30,66%","29,49%","23,88%",ODPV3
ROA,"23,35%","23,64%","22,35%","19,72%","18,73%","16,10%",ODPV3
DÍVIDA LÍQUIDA / EBITDA,-082,-054,-039,-004,-138,-135,ODPV3
DÍVIDA LÍQUIDA / EBIT,-088,-058,-040,-065,-143,-141,ODPV3
DÍVIDA BRUTA / PATRIMÔNIO,-,000,000,000,000,000,ODPV3
PATRIMÔNIO / ATIVOS,055,064,059,058,063,063,ODPV3
PASSIVOS / ATIVOS,045,036,041,042,091,017,ODPV3
LIQUIDEZ CORRENTE,079,080,070,098,181,537,ODPV3
CAGR RECEITAS 5 ANOS,"4,36%","6,23%","5,77%","6,18%","7,15%","9,37%",ODPV3
CAGR LUCROS 5 ANOS,"13,61%","12,39%","-2,14%","12,03%","10,22%","7,87%",ODPV3
P/L,1319,1178,1302,2008,000,000,BLAU3
P/RECEITA (PSR),146,214,336,478,000,000,BLAU3
P/VP,118,147,259,397,000,000,BLAU3
DIVIDEND YIELD (DY),"2,65%","2,57%","3,23%","0,68%","0,00%","0,00%",BLAU3
PAYOUT,"31,87%","30,33%","42,02%","13,69%","0,00%","0,00%",BLAU3
MARGEM LÍQUIDA,"11,10%","18,20%","25,78%","23,80%","21,50%","20,51%",BLAU3
MARGEM BRUTA,"35,38%","35,72%","47,47%","48,74%","47,12%","43,99%",BLAU3
MARGEM EBIT,"15,77%","6,40%","32,14%","33,42%","32,98%","30,87%",BLAU3
MARGEM EBITDA,"18,73%","9,23%","33,72%","34,95%","34,43%","31,89%",BLAU3
EV/EBITDA,818,2482,925,1253,117,053,BLAU3
EV/EBIT,972,3581,971,1310,122,055,BLAU3
P/EBITDA,781,2323,995,1367,000,000,BLAU3
P/EBIT,928,3351,1044,1430,000,000,BLAU3
P/ATIVO,076,096,189,280,000,000,BLAU3
P/CAP.GIRO,218,242,361,482,000,000,BLAU3
P/ATIVO CIRC LIQ,-149,-196,-575,-1034,000,000,BLAU3
VPA,1169,1116,1016,917,124,149,BLAU3
LPA,104,139,202,181,141,112,BLAU3
GIRO ATIVOS,052,045,056,059,093,132,BLAU3
ROE,"8,92%","12,48%","19,91%","19,77%","113,92%","75,11%",BLAU3
ROIC,"7,98%","0,04%","16,13%","14,76%","31,90%","39,93%",BLAU3
ROA,"5,66%","8,11%","14,43%","13,91%","19,93%","27,13%",BLAU3
DÍVIDA LÍQUIDA / EBITDA,037,159,-070,-115,117,053,BLAU3
DÍVIDA LÍQUIDA / EBIT,044,229,-073,-120,122,055,BLAU3
DÍVIDA BRUTA / PATRIMÔNIO,026,030,017,023,310,104,BLAU3
PATRIMÔNIO / ATIVOS,065,066,073,071,017,036,BLAU3
PASSIVOS / ATIVOS,036,035,027,030,083,064,BLAU3
LIQUIDEZ CORRENTE,348,463,452,495,220,191,BLAU3
CAGR RECEITAS 5 ANOS,"11,54%","11,97%",-%,-%,-%,-%,BLAU3
CAGR LUCROS 5 ANOS,"-1,74%","14,27%",-%,-%,-%,-%,BLAU3
P/L,-982,1251,2005,1552,,,VVEO3
P/RECEITA (PSR),005,041,060,099,,,VVEO3
P/VP,020,137,228,285,,,VVEO3
DIVIDEND YIELD (DY),"7,50%","0,00%","2,69%","1,31%",,,VVEO3
PAYOUT,-,"24,83%","50,47%","0,00%",,,VVEO3
MARGEM LÍQUIDA,"-0,53%","3,25%","2,97%","6,35%",,,VVEO3
MARGEM BRUTA,"13,91%","15,65%","15,97%","17,65%",,,VVEO3
MARGEM EBIT,"0,36%","5,74%","5,87%","7,92%",,,VVEO3
MARGEM EBITDA,"2,93%","8,09%","7,89%","9,50%",,,VVEO3
EV/EBITDA,796,750,946,1026,,,VVEO3
EV/EBIT,6449,1057,1271,1230,,,VVEO3
P/EBITDA,177,502,755,1039,,,VVEO3
P/EBIT,1434,708,1014,1246,,,VVEO3
P/ATIVO,006,044,054,089,,,VVEO3
P/CAP.GIRO,018,154,215,249,,,VVEO3
P/ATIVO CIRC LIQ,-014,-107,-133,-266,,,VVEO3
VPA,934,1019,706,666,,,VVEO3
LPA,-019,111,080,122,,,VVEO3
GIRO ATIVOS,112,109,091,090,,,VVEO3
ROE,"-2,03%","10,94%","11,39%","18,37%",,,VVEO3
ROIC,"-5,18%","6,37%","8,23%","11,20%",,,VVEO3
ROA,"-0,59%","3,53%","2,72%","5,73%",,,VVEO3
DÍVIDA LÍQUIDA / EBITDA,619,248,191,-013,,,VVEO3
DÍVIDA LÍQUIDA / EBIT,5015,350,256,-016,,,VVEO3
DÍVIDA BRUTA / PATRIMÔNIO,129,098,146,099,,,VVEO3
PATRIMÔNIO / ATIVOS,029,032,024,031,,,VVEO3
PASSIVOS / ATIVOS,071,068,076,069,,,VVEO3
LIQUIDEZ CORRENTE,221,195,175,216,,,VVEO3
CAGR RECEITAS 5 ANOS,-,-%,-%,-%,,,VVEO3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,,,VVEO3
P/L,-762,-1171,1796,1312,2534,2683,QUAL3
P/RECEITA (PSR),038,055,085,229,490,526,QUAL3
P/VP,047,076,124,379,590,739,QUAL3
DIVIDEND YIELD (DY),-,"2,33%","4,35%","12,26%","0,84%","3,52%",QUAL3
PAYOUT,"-27,67%","-27,27%","78,16%","170,17%","12,57%","94,48%",QUAL3
MARGEM LÍQUIDA,"-5,04%","-4,71%","4,76%","17,45%","19,35%","19,61%",QUAL3
MARGEM BRUTA,"80,98%","78,91%","77,19%","79,69%","81,59%","81,05%",QUAL3
MARGEM EBIT,"10,07%","6,72%","18,57%","30,37%","30,07%","30,18%",QUAL3
MARGEM EBITDA,"37,30%","33,88%","40,05%","47,81%","48,21%","49,19%",QUAL3
EV/EBITDA,279,374,411,626,1080,1155,QUAL3
EV/EBIT,1032,1886,887,985,1731,1882,QUAL3
P/EBITDA,103,163,213,479,1017,1069,QUAL3
P/EBIT,382,822,460,754,1631,1743,QUAL3
P/ATIVO,014,021,037,109,225,315,QUAL3
P/CAP.GIRO,320,306,319,-351,2023,-1786,QUAL3
